Date,Forecasted_CIF_Value(N),Confidence_Interval_Lower,Confidence_Interval_Upper,Forecasted_CIF_Value_Adjusted,Year,Month
2019-01-31,64899397217.79307,53750677649.37694,76020015974.70537,57111469551.6579,2019,1
2019-02-28,64970780144.49246,54213978265.70393,76788818527.66136,57174286527.153366,2019,2
2019-03-31,65049811241.30574,53966190225.59356,76880979299.54489,57243833892.34905,2019,3
2019-04-30,65126292949.3237,53974995062.35939,76064252090.34756,57311137795.404854,2019,4
2019-05-31,65205324046.766365,53424836484.76351,76114260153.87828,57380685161.1544,2019,5
2019-06-30,65281805758.33974,54694112229.48213,76763889041.72458,57447989067.33897,2019,6
2019-07-31,65360836861.37384,54048635738.40483,76515402026.90683,57517536438.00898,2019,7
2019-08-31,65439867964.34487,54006813893.932106,77051793415.33885,57587083808.62349,2019,8
2019-09-30,65516349677.893524,54083742331.119804,76452094875.30028,57654387716.5463,2019,9
2019-10-31,65595380784.63865,54181262343.87069,76845318640.22134,57723935090.48201,2019,10
2019-11-30,65671862500.84361,54403200185.854706,76689855577.77185,57791239000.74238,2019,11
2019-12-31,65750893607.588745,53940146703.077866,77207149116.15883,57860786374.67809,2019,12
2020-01-31,65829924714.33388,55002603953.63435,77398107693.47273,57930333748.613815,2020,1
2020-02-29,65903857039.99867,54242732627.28253,77853416507.12349,57995394195.19883,2020,2
2020-03-31,65982888146.743805,54568590317.58974,77761321731.0611,58064941569.13455,2020,3
2020-04-30,66059369862.94877,54127191931.869095,77053392109.58139,58132245479.39492,2020,4
2020-05-31,66138400969.69389,54702885087.86398,76812768934.1171,58201792853.33063,2020,5
2020-06-30,66214882685.89886,55404058518.33844,77738676307.40938,58269096763.590996,2020,6
2020-07-31,66293913792.64399,55115146700.69693,77363471870.39526,58338644137.52671,2020,7
2020-08-31,66372944899.38912,54567914783.2367,78573672163.81042,58408191511.462425,2020,8
2020-09-30,66449426615.59408,54608154004.141884,77825476057.87071,58475495421.722786,2020,9
2020-10-31,66528457722.3392,54088336375.204636,77279371616.07904,58545042795.6585,2020,10
2020-11-30,66604939438.54417,54694082108.19754,78332805258.03362,58612346705.91887,2020,11
2020-12-31,66683970545.2893,54699797015.74923,77935291867.16368,58681894079.85458,2020,12
2021-01-31,66763001652.03443,55136136780.120186,77896375921.55429,58751441453.7903,2021,1
2021-02-28,66834384587.15906,55528480479.52023,78415907994.925,58814258436.699974,2021,2
2021-03-31,66913415693.90419,55319772958.06087,77817424268.25832,58883805810.63569,2021,3
2021-04-30,66989897410.10915,56010643985.447716,78697258364.14319,58951109720.89606,2021,4
2021-05-31,67068928516.85429,55065857270.454994,78509147263.80226,59020657094.83177,2021,5
2021-06-30,67145410233.05925,55345697622.4821,78698168322.60126,59087961005.09214,2021,6
2021-07-31,67224441339.804375,55522064560.41806,78586223171.98755,59157508379.02785,2021,7
2021-08-31,67303472446.54951,56195005239.38293,79245017116.3919,59227055752.96357,2021,8
2021-09-30,67379954162.75447,55663254682.462906,78089060076.95064,59294359663.22394,2021,9
2021-10-31,67458985269.499596,57180216616.66075,78097914184.05777,59363907037.159645,2021,10
2021-11-30,67535466985.70456,56294680548.02042,78697796161.18472,59431210947.42001,2021,11
2021-12-31,67614498092.449684,55969838027.45165,79373318419.61658,59500758321.35572,2021,12
2022-01-31,67693529199.19482,56476919784.13479,77733052636.43417,59570305695.291435,2022,1
2022-02-28,67764912134.31945,56763309716.3149,79280757317.09224,59633122678.20112,2022,2
2022-03-31,67843943241.064575,55886556799.392815,78972424929.04242,59702670052.136826,2022,3
