HS_Code,Growth_Slope,Total_Import(N),HS_Description,Fiscal_Impact_20,Fiscal_Impact_30,Job_Creation_30%,Industry_Growth_30%,Priority_Score,Normalized_Score,Allocated_Fund
8541401000,269443139.43,26094463458.0,Solar Cells Whether Or Not In Modules Or Made Up Into Panels,5218892691.6,7828339037.4,234850171.12199998,391416951.87,4.33,0.13811802232854864,13811802232.85
8517620000,-522999306.36,102279539056.0,"Machines For Reception, Conversion And Transmission Of Voice, Images Or Data.",20455907811.2,30683861716.8,920515851.504,1534193085.8400002,3.67,0.11706539074960128,11706539074.96
8504409000,-10945907.36,33122740574.0,Other Static Converters Not Specified,6624548114.8,9936822172.199999,298104665.16599995,496841108.60999995,3.67,0.11706539074960128,11706539074.96
8544600000,210270840.36,18173775432.0,"Other Electric Conductors, For A Voltage Exceeding 1,000 V",3634755086.4,5452132629.599999,163563978.88799998,272606631.47999996,3.33,0.1062200956937799,10622009569.38
8537100000,197653122.91,22859138372.0,"Boards, Panels, Consoles For Electric Control/Distribution. For A Voltage < 1,000 V",4571827674.400001,6857741511.599999,205732245.348,342887075.58,3.0,0.09569377990430622,9569377990.43
8528721000,-566870.68,41962385894.0,"Reception Apparatus For Television, Coloured, Presented Ckd",8392477178.8,12588715768.199999,377661473.04599994,629435788.41,2.67,0.08516746411483253,8516746411.48
8502392000,-328431077.56,26380077578.0,Gaspowered Generator,5276015515.6,7914023273.4,237420698.202,395701163.67,2.67,0.08516746411483253,8516746411.48
8502121000,-130864508.98,36393600840.0,"Gen. Set, Diesel Or Semidiesel Engine, Output >75<375Kva,Ckd For Assembly Industry",7278720168.0,10918080252.0,327542407.56,545904012.6,2.67,0.08516746411483253,8516746411.48
8517700000,44785800.54,20756282745.0,Parts Of Article Of Heading 8517,4151256549.0,6226884823.5,186806544.70499998,311344241.175,2.67,0.08516746411483253,8516746411.48
8517180000,-68126186.58,18034472021.0,Other Telephone Sets Not Specified.,3606894404.2000003,5410341606.3,162310248.189,270517080.315,2.67,0.08516746411483253,8516746411.48
