HS_Code,Growth_Slope,Total_Import(N),HS_Description,Fiscal_Impact_20,Fiscal_Impact_30,Job_Creation_30%,Industry_Growth_30%
8517620000,-522999306.36,102279539056.0,"Machines For Reception, Conversion And Transmission Of Voice, Images Or Data.",20455907811.2,30683861716.8,920515851.504,1534193085.8400002
8528721000,-566870.68,41962385894.0,"Reception Apparatus For Television, Coloured, Presented Ckd",8392477178.8,12588715768.199999,377661473.04599994,629435788.41
8502121000,-130864508.98,36393600840.0,"Gen. Set, Diesel Or Semidiesel Engine, Output >75<375Kva,Ckd For Assembly Industry",7278720168.0,10918080252.0,327542407.56,545904012.6
8504409000,-10945907.36,33122740574.0,Other Static Converters Not Specified,6624548114.8,9936822172.199999,298104665.16599995,496841108.60999995
8502392000,-328431077.56,26380077578.0,Gaspowered Generator,5276015515.6,7914023273.4,237420698.202,395701163.67
8541401000,269443139.43,26094463458.0,Solar Cells Whether Or Not In Modules Or Made Up Into Panels,5218892691.6,7828339037.4,234850171.12199998,391416951.87
8537100000,197653122.91,22859138372.0,"Boards, Panels, Consoles For Electric Control/Distribution. For A Voltage < 1,000 V",4571827674.400001,6857741511.599999,205732245.348,342887075.58
8517700000,44785800.54,20756282745.0,Parts Of Article Of Heading 8517,4151256549.0,6226884823.5,186806544.70499998,311344241.175
8544600000,210270840.36,18173775432.0,"Other Electric Conductors, For A Voltage Exceeding 1,000 V",3634755086.4,5452132629.599999,163563978.88799998,272606631.47999996
8517180000,-68126186.58,18034472021.0,Other Telephone Sets Not Specified.,3606894404.2000003,5410341606.3,162310248.189,270517080.315
8528719000,16574185.38,16067707912.0,"Reception Apparatus For Television, With No Video Display/Screen, Presented Fully Built",3213541582.4,4820312373.599999,144609371.20799997,241015618.67999998
8544499000,-71979517.64,14104264697.0,"Other Electric Conductors, For A Voltage Not Exceeding 1000V Not Specified",2820852939.4,4231279409.1,126938382.27299999,211563970.455
8502209091,-27858636.15,14006614810.0,Other Basic Of An Output Equal To And Not Exceeding 10Kva,2801322962.0,4201984443.0,126059533.28999999,210099222.15
8502111000,360372085.85,12933211628.0,"Generating Sets, Diesel Or Semidiesel Engines, Output <75Kva,Ckd For Assembly Industry",2586642325.6000004,3879963488.3999996,116398904.65199998,193998174.42
8537200000,-69726022.41,12542064795.0,"Boards, Panels, Consoles For Electric Control/Distribution. For A Voltage> 1,000 V",2508412959.0,3762619438.5,112878583.155,188130971.925
8515110000,27397499.32,12062711554.0,Soldering Irons And Guns,2412542310.8,3618813466.2,108564403.98599999,180940673.31
8502139099,50213251.64,11659172328.0,Of An Output Exceeding 1000Kva,2331834465.6,3497751698.4,104932550.95199999,174887584.92000002
8504401000,-15329687.4,11642001000.0,Uninterruptible Power Supply (Ups),2328400200.0,3492600300.0,104778009.0,174630015.0
8507200000,22167387.17,10697615850.0,Other Lead-Acid Accumulators Not Specified,2139523170.0,3209284755.0,96278542.64999999,160464237.75
8504900000,3563326.02,10053258468.0,"Parts Of Electrical Transformers, Static Converters (Eg, Rectifiers) And Inductors.",2010651693.6000001,3015977540.4,90479326.212,150798877.02
8529100000,-157670275.03,10008111490.0,Aerials And Aerial Reflectors Of All Kinds; Parts Suitable For Use Therewith,2001622298.0,3002433447.0,90073003.41,150121672.35
8544200000,43674475.86,9280821732.0,Coaxial Cable And Other Coaxial Electric Conductors,1856164346.4,2784246519.6,83527395.588,139212325.98
8504402000,18106661.12,8788905882.0,Battery Chargers,1757781176.4,2636671764.6,79100152.938,131833588.23
8501400000,-7721685.49,8534599115.0,"Other Ac Motors, Singlephase",1706919823.0,2560379734.5,76811392.035,128018986.72500001
8507600000,5965926.3,8453505472.0,Lithium-Ion Accumulators,1690701094.4,2536051641.6,76081549.248,126802582.08
8504230000,-119516700.45,8414210494.0,"Liquid Dielectric Transformers, Having A Power Handling Capacity Exceeding 10,000 Kva",1682842098.8000002,2524263148.2,75727894.446,126213157.41
8542310000,60105000.03,7728600241.0,"Processors And Controllers, Converters. Or Other Circuits",1545720048.2,2318580072.2999997,69557402.16899998,115929003.615
8502131000,-48746438.38,7695153840.0,"Generating Sets, Diesel Or Semidiesel Engines Of An Output >375 Kva, Ckd",1539030768.0,2308546152.0,69256384.56,115427307.60000001
8503000000,12912467.09,7109713601.0,Parts Suitable For Use Solely/Principally With The Machines Of Heading 85.01 Or 85.02.,1421942720.2,2132914080.3,63987422.408999994,106645704.015
8517120000,-46287570.38,7086481760.0,Telephones For Cellular Networks Or For Other Wireless Networks,1417296352.0,2125944528.0,63778335.839999996,106297226.4
8504100000,22991130.43,6379049303.0,Ballasts For Discharge Lamps Or Tubes,1275809860.6000001,1913714790.8999999,57411443.72699999,95685739.545
8536900000,74637089.29,5939955765.0,Other Apparatus Of Heading 85.36 Not Specified,1187991153.0,1781986729.5,53459601.885,89099336.47500001
8519890000,9402.81,5701049226.0,Other Sound Recording Or Reproducing Apparatus Not Specified.,1140209845.2,1710314767.8,51309443.033999994,85515738.39
8544491000,158589406.85,5685176450.0,"Almenec Insulated Cables, Metallic Part Made Of 7 Strands Of Diameter 3.15Mm And 3.55Mm",1137035290.0,1705552935.0,51166588.05,85277646.75
8536500000,-18528288.71,5049953736.0,Other Electrical Switches,1009990747.2,1514986120.8,45449583.624,75749306.04
8504340000,18823297.48,4923120971.0,"Other Transformer Not Specified, Having A Power Handling Capacity Exceeding 500 Kva",984624194.2,1476936291.3,44308088.739,73846814.565
8544700000,-16373060.12,4461499792.0,Optical Fibre Cables,892299958.4000001,1338449937.6,40153498.128,66922496.879999995
8501310000,16501442.87,4442695254.0,Other Dc Motors; Dc Generators Of An Output Not Exceeding 750 W,888539050.8000001,1332808576.2,39984257.286,66640428.81
8538900000,5343262.42,4373268967.0,"Parts Suitable For Boards, Panels, Consoles, Desk Equipped With Their Apparatus",874653793.4000001,1311980690.1,39359420.702999994,65599034.504999995
8517610000,14186988.53,4321295046.0,Base Stations,864259009.2,1296388513.8,38891655.414,64819425.69
8517690000,55924792.27,4003033611.0,Other Apparatus Of Subheading 8517.60 Not Specified,800606722.2,1200910083.3,36027302.499,60045504.165
8543700000,18373893.05,3980927488.0,"Electrical Machines And Apparatus, Having Individual Functions, Not Specified",796185497.6,1194278246.3999999,35828347.392,59713912.31999999
8513100000,11969000.38,3779209396.0,Lamps Designed To Function By Their Own Source Of Energy,755841879.2,1133762818.8,34012884.563999996,56688140.94
8516100000,-1097101.75,3765479080.0,Electric Instantaneous Or Storage Water Heaters And Immersion Heaters,753095816.0,1129643724.0,33889311.72,56482186.2
8544420000,13069048.76,3692434321.0,"Other Electric Conductors, For A Voltage Not Exceeding 1,000 V, Fitted With Connectors",738486864.2,1107730296.3,33231908.889,55386514.815
8525600000,-31432593.73,3675611756.0,Transmission Apparatus Incorporating Reception Apparatus,735122351.2,1102683526.8,33080505.803999998,55134176.34
8538100000,-2328355.52,3646036599.0,"Parts Suitable For Boards, Panels, Consoles, Desk,Not Equipped With Their Apparatus",729207319.8000001,1093810979.7,32814329.391,54690548.98500001
8502399000,-28674529.92,3463196021.0,Other Generating Sets Not Elsewhere Specified Or Included In This Sub-Heading,692639204.2,1038958806.3,31168764.188999996,51947940.315
8502399000,-28674529.92,3463196021.0,"Other Ac Generators (Alternators, Etc)",692639204.2,1038958806.3,31168764.188999996,51947940.315
